IRIS,Population Active,Pop 15-24,Pop 25-54,Pop 55-64,Revenus Q1,Revenus Medians,Revenus Q3
751197302,2283,594,1356,334,13920.0,22350.0,33000.0
751197303,2613,543,1612,458,14640.0,22980.0,34390.0
751197304,1627,265,1077,285,14920.0,23230.0,34930.0
751197305,2122,282,1537,304,15800.0,25050.0,37230.0
751197306,1891,385,1107,399,11590.0,15400.0,20660.0
751197307,2422,513,1586,323,11090.0,15810.0,23690.0
751197308,2331,744,1155,433,9060.0,13480.0,21310.0
751197309,2475,623,1325,527,13380.0,20960.0,30910.0
751197310,2917,675,1666,577,11890.0,16900.0,25300.0
751197311,1949,330,1288,332,14400.0,23870.0,36850.0
751197312,1404,265,931,208,12410.0,17870.0,26780.0
751197313,1963,356,1316,292,14500.0,23600.0,35020.0
751197314,1905,268,1380,257,12500.0,18900.0,28400.0
751197315,2119,409,1298,412,13490.0,21590.0,32010.0
751197316,2501,385,1849,267,12530.0,21180.0,32490.0
751197317,1234,299,685,250,11970.0,16740.0,24720.0
751197318,534,145,233,157,,,
751197388,0,0,0,0,,,
751197401,1240,252,726,262,12760.0,18220.0,26540.0
751197402,2634,527,1687,421,14990.0,23520.0,34140.0
751197403,1339,166,972,201,12800.0,19450.0,28510.0
751197404,1482,232,1084,166,12870.0,22220.0,33600.0
751197405,1795,291,1239,265,12440.0,17370.0,26480.0
751197406,3432,796,1924,712,12750.0,18360.0,28100.0
751197407,1765,363,1114,288,11320.0,16230.0,24000.0
751197408,1772,435,983,354,11410.0,15410.0,21360.0
751197409,1328,244,793,291,11220.0,16320.0,22210.0
751197410,1776,502,960,313,11330.0,16080.0,22190.0
751197411,1826,325,1108,393,15460.0,25190.0,36730.0
751197412,555,51,399,104,,,
751197413,1991,420,1454,117,14220.0,20560.0,30070.0
751197488,0,0,0,0,,,
751197501,1769,389,1105,276,14460.0,22380.0,32290.0
751197502,1823,331,1236,256,14810.0,22280.0,32800.0
751197503,1316,264,831,221,13720.0,20470.0,30780.0
751197504,1460,387,860,213,12170.0,16980.0,23120.0
751197505,1303,216,804,284,15590.0,22110.0,30760.0
751197506,1365,133,990,242,19920.0,28510.0,39220.0
751197507,1643,303,1046,294,13800.0,23540.0,35560.0
751197508,1445,225,920,300,19900.0,28540.0,39380.0
751197509,1188,217,699,273,12130.0,16600.0,22880.0
751197510,1788,298,1141,349,14800.0,22040.0,32430.0
751197511,1495,248,965,282,14630.0,20930.0,29560.0
751197512,1002,216,575,211,11240.0,15150.0,20570.0
751197513,1485,201,978,306,12780.0,18000.0,23610.0
751197514,2075,368,1274,433,21870.0,33470.0,49020.0
751197515,1479,164,1006,309,19900.0,30800.0,43640.0
751197516,1072,159,714,199,11690.0,15460.0,22140.0
751197517,2608,468,1623,517,11630.0,16990.0,24970.0
751197518,2294,516,1263,516,11300.0,14940.0,20310.0
751197519,1334,491,662,181,12060.0,16620.0,22030.0
751197520,2193,404,1369,421,13990.0,22580.0,32860.0
751197521,2121,371,1510,241,14560.0,22750.0,31980.0
751197522,2591,555,1625,410,16040.0,24930.0,35140.0
751197523,1412,295,900,217,17750.0,26060.0,34910.0
751197524,1101,214,732,154,18020.0,26840.0,40210.0
751197525,168,53,92,23,,,
751197601,1667,235,1123,310,18140.0,26770.0,38410.0
751197602,3654,658,2388,608,18960.0,28370.0,40920.0
751197603,1757,250,1260,247,19620.0,30390.0,42430.0
751197604,2001,299,1395,307,18030.0,28960.0,41150.0
751197605,1693,228,1103,362,12180.0,19650.0,30740.0
751197606,1117,183,700,234,13060.0,19470.0,29130.0
751197607,1031,142,736,152,21180.0,32040.0,44490.0
751197608,1620,345,901,373,13390.0,21770.0,34760.0
751197609,2263,305,1589,369,18450.0,28100.0,40580.0
751197610,938,170,526,242,12510.0,16150.0,23330.0
751197611,1739,362,1092,285,17490.0,27800.0,38380.0
751197612,1346,195,897,255,17720.0,29710.0,46040.0
751197613,1973,304,1411,258,16860.0,26740.0,37810.0
751197614,1596,181,1168,248,15890.0,24920.0,37540.0
751197615,1822,297,1292,233,16900.0,28390.0,42380.0
751197616,1177,297,715,165,12650.0,19300.0,29400.0
751197617,7,0,7,0,,,
751207701,1681,222,1140,319,14440.0,22130.0,31780.0
751207702,2054,385,1359,310,17140.0,27230.0,38420.0
751207703,1510,304,926,280,12480.0,18420.0,27400.0
751207704,1696,263,1169,265,14410.0,22970.0,33370.0
751207705,1223,227,818,178,12690.0,19980.0,26940.0
751207706,1616,211,1199,206,15600.0,24880.0,36330.0
751207707,1648,255,1129,264,14190.0,23500.0,33440.0
751207708,2353,459,1397,496,11830.0,16630.0,25810.0
751207709,1254,238,828,188,11100.0,15940.0,24840.0
751207710,1700,304,1162,233,12640.0,20070.0,30100.0
751207711,2710,584,1668,458,13050.0,19750.0,29660.0
751207712,2060,297,1498,265,15760.0,25490.0,36430.0
751207713,1756,229,1192,335,13110.0,19270.0,27470.0
751207714,2003,273,1430,300,17300.0,27680.0,37830.0
751207801,2633,607,1579,447,12530.0,17540.0,23570.0
751207802,2445,356,1660,429,15500.0,25970.0,38950.0
751207803,1204,252,702,250,11080.0,14640.0,19020.0
751207804,1378,319,790,269,11480.0,15460.0,21880.0
751207805,2113,273,1355,484,17600.0,27620.0,41400.0
751207806,2876,457,1959,459,15940.0,24430.0,35020.0
751207807,2202,421,1422,358,20390.0,29550.0,40910.0
751207808,2408,411,1604,394,15130.0,23350.0,33110.0
751207809,2644,344,1874,426,18120.0,26920.0,37090.0
751207810,1685,403,1026,255,12150.0,17630.0,26200.0
751207811,1171,208,811,151,16110.0,23680.0,32470.0
751207812,1215,182,809,224,19660.0,28690.0,40080.0
751207813,1644,299,1021,323,12750.0,18460.0,26410.0
751207814,1196,196,778,222,13050.0,20350.0,30570.0
751207815,2143,281,1481,381,11930.0,22950.0,34500.0
751207816,2277,366,1539,373,17200.0,26740.0,38070.0
751207901,2876,565,1950,361,17730.0,26880.0,36830.0
751207902,1803,465,1052,286,19280.0,28920.0,42900.0
751207903,1509,258,1121,130,18600.0,27520.0,39070.0
751207904,1676,190,1204,282,19140.0,28530.0,40590.0
751207905,4109,621,2786,701,18040.0,27400.0,38890.0
751207906,1413,191,943,278,12080.0,18210.0,26870.0
751207907,2310,488,1463,359,14420.0,22010.0,32640.0
751207908,2319,494,1350,474,12600.0,17820.0,26520.0
751207909,1709,248,1209,252,20160.0,28820.0,40820.0
751207910,2134,400,1295,438,11760.0,16930.0,24140.0
751207911,2198,528,1262,408,11650.0,21790.0,32500.0
751207912,2387,275,1706,406,17040.0,25780.0,36670.0
751207913,1435,172,1045,218,20060.0,31020.0,42900.0
751207914,1710,280,1177,253,21240.0,30180.0,39810.0
751207915,2110,327,1526,258,19880.0,29030.0,39650.0
751207916,1974,239,1260,476,13960.0,22390.0,35520.0
751207917,3,0,2,1,,,
751208001,1347,213,879,255,12340.0,16820.0,23040.0
751208002,1412,261,934,217,18250.0,28660.0,40840.0
751208003,2135,256,1457,422,16160.0,23360.0,31830.0
751208004,1162,160,855,147,23680.0,33850.0,45260.0
751208005,1302,168,916,218,17270.0,28620.0,40300.0
751208006,1950,327,1301,321,20050.0,30750.0,43090.0
751208007,2596,582,1515,498,13920.0,19790.0,30420.0
751208008,1686,260,1069,356,12120.0,16590.0,22560.0
751208009,1197,88,784,326,10630.0,15270.0,20320.0
751208010,1519,233,939,346,12610.0,18180.0,26150.0
751208011,1120,233,568,319,12120.0,16120.0,23160.0
751208012,2045,442,1292,311,13240.0,19650.0,28950.0
751208013,1825,437,1173,214,14640.0,22930.0,33250.0
751208014,1718,233,1309,176,15080.0,23320.0,33740.0
751208015,2075,370,1337,368,17880.0,28740.0,41330.0
751208016,2037,385,1369,284,13900.0,22190.0,32290.0
751208017,1928,308,1336,284,14440.0,22860.0,35820.0
751208018,1925,347,1194,383,13540.0,20160.0,29190.0
751208019,3115,601,1958,556,13560.0,19750.0,29030.0
751208020,1635,314,997,323,11290.0,14820.0,19720.0
751208021,2551,622,1478,451,11790.0,16040.0,21720.0
751208022,949,170,613,166,14220.0,20990.0,30440.0
751208023,1431,234,905,292,14240.0,21870.0,32030.0
751208024,2088,374,1401,313,17130.0,25740.0,36560.0
751208025,1994,388,1291,314,16210.0,24510.0,34690.0
751208026,1362,171,981,210,19310.0,28320.0,40190.0
