"Département (Champ géographique)","Code Commune (Champ géographique)","Nom Commune (Champ géographique)","Section (Références cadastrales)","Bâtiment (Identification du local)","N° voirie (Adresse du local)","Indice de répétition (Adresse du local)","Nature voie (Adresse du local)","Nom voie (Adresse du local)","N° MAJIC (Propriétaire(s) du local)","N° SIREN (Propriétaire(s) du local)","Forme juridique (Propriétaire(s) du local)","Forme juridique abrégée (Propriétaire(s) du local)","Dénomination (Propriétaire(s) du local)","Adresse","Adresse_complete"
59,350,"LILLE","C","A",80,"","RUE","PHILIPPE DE GIRARD LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE PHILIPPE DE GIRARD LOMME","80 RUE PHILIPPE DE GIRARD LOMME"
59,350,"LILLE","C","A",84,"","RUE","PHILIPPE DE GIRARD LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE PHILIPPE DE GIRARD LOMME","84 RUE PHILIPPE DE GIRARD LOMME"
59,350,"LILLE","C","A",90,"","RUE","PHILIPPE DE GIRARD LOMME","PBKDXH","812116382",6540,"SCI","CALYPSO","RUE PHILIPPE DE GIRARD LOMME","90 RUE PHILIPPE DE GIRARD LOMME"
59,350,"LILLE","C","A",14,"","IMPASSE","PHILIPPE DE GIRARD LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","IMPASSE PHILIPPE DE GIRARD LOMME","14 IMPASSE PHILIPPE DE GIRARD LOMME"
59,350,"LILLE","C","A",12,"","IMPASSE","PHILIPPE DE GIRARD LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","IMPASSE PHILIPPE DE GIRARD LOMME","12 IMPASSE PHILIPPE DE GIRARD LOMME"
59,350,"LILLE","C","A",6,"","IMPASSE","PHILIPPE DE GIRARD LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","IMPASSE PHILIPPE DE GIRARD LOMME","6 IMPASSE PHILIPPE DE GIRARD LOMME"
59,350,"LILLE","C","A",4,"","IMPASSE","PHILIPPE DE GIRARD LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","IMPASSE PHILIPPE DE GIRARD LOMME","4 IMPASSE PHILIPPE DE GIRARD LOMME"
59,350,"LILLE","C","A",2,"","IMPASSE","PHILIPPE DE GIRARD LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","IMPASSE PHILIPPE DE GIRARD LOMME","2 IMPASSE PHILIPPE DE GIRARD LOMME"
59,350,"LILLE","C","A",30,"","RUE","GALLIENI","PBJZLH","821743614",6540,"SCI","CIRCULAIRE","RUE GALLIENI","30 RUE GALLIENI"
59,350,"LILLE","C","A",39,"","RUE","WINSTON CHURCHILL LOMME","PBBB8N","045550258",5599,"SA","SIA HABITAT","RUE WINSTON CHURCHILL LOMME","39 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",39,"","RUE","WINSTON CHURCHILL LOMME","PBCCN7","331049114",5599,"SA","SA HLM LE NOUVEAU LOGIS DES MARCHES NORD","RUE WINSTON CHURCHILL LOMME","39 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",43,"","RUE","WINSTON CHURCHILL LOMME","PBBB8N","045550258",5599,"SA","SIA HABITAT","RUE WINSTON CHURCHILL LOMME","43 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",43,"","RUE","WINSTON CHURCHILL LOMME","PBCCN7","331049114",5599,"SA","SA HLM LE NOUVEAU LOGIS DES MARCHES NORD","RUE WINSTON CHURCHILL LOMME","43 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",49,"","RUE","WINSTON CHURCHILL LOMME","PBBB8N","045550258",5599,"SA","SIA HABITAT","RUE WINSTON CHURCHILL LOMME","49 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",49,"","RUE","WINSTON CHURCHILL LOMME","PBCCN7","331049114",5599,"SA","SA HLM LE NOUVEAU LOGIS DES MARCHES NORD","RUE WINSTON CHURCHILL LOMME","49 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",57,"","RUE","WINSTON CHURCHILL LOMME","PBCB99","U21031063",9900,"","EDF SA SIRA DMI-PFA","RUE WINSTON CHURCHILL LOMME","57 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",57,"","RUE","WINSTON CHURCHILL LOMME","P998ZQ","552081317",5599,"SA","ELECTRICITE DE FRANCE","RUE WINSTON CHURCHILL LOMME","57 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",67,"","RUE","WINSTON CHURCHILL LOMME","PBJ29N","813844008",6540,"SCI","SCI IMMOME LILLE 5","RUE WINSTON CHURCHILL LOMME","67 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",75,"","RUE","WINSTON CHURCHILL LOMME","PBBB8N","045550258",5599,"SA","SIA HABITAT","RUE WINSTON CHURCHILL LOMME","75 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",75,"","RUE","WINSTON CHURCHILL LOMME","PBCCN7","331049114",5599,"SA","SA HLM LE NOUVEAU LOGIS DES MARCHES NORD","RUE WINSTON CHURCHILL LOMME","75 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",76,"","RUE","WINSTON CHURCHILL LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE WINSTON CHURCHILL LOMME","76 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",49,"","RUE","JACQUART LOMME","PBCR77","502510795",6540,"SCI","KLINH","RUE JACQUART LOMME","49 RUE JACQUART LOMME"
