nom,validations
HOTEL DE VILLE,23789.0
HOUDAN,778.0
HOUILLES CARRIERES SUR SEINE,9925.0
IENA,4317.0
IGNY,323.0
INVALIDES,7757.0
ISLES ARMENTIERES CONGIS,82.0
ISSOU PORCHEVILLE,158.0
ISSY,2120.0
ISSY VAL DE SEINE,5972.0
IVRY SUR SEINE,3834.0
Inconnu,4127.0
JACQUES BONSERGENT,4456.0
JASMIN,3431.0
JAURES,11246.0
JAVEL,7715.0
JOURDAIN,6079.0
JOUY EN JOSAS,372.0
JULES JOFFRIN,8621.0
JUSSIEU,8976.0
JUVISY,10547.0
JUZIERS,184.0
KLEBER,1994.0
L ABBAYE,192.0
L ETANG LA VILLE,392.0
L ISLE ADAM PARMAIN,490.0
LA BARRE ORMESSON,1858.0
LA CELLE SAINT CLOUD,1546.0
LA CHAPELLE,14879.0
LA COURNEUVE 8 MAI 1945,15229.0
LA COURNEUVE AUBERVILLIERS,12476.0
LA DEFENSE GRANDE ARCHE,66877.0
LA FERTE ALAIS,252.0
LA FERTE SOUS JOUARRE,891.0
LA FOURCHE,5702.0
LA FRETTE MONTIGNY,511.0
LA GARENNE COLOMBES,4227.0
LA GRANDE PAROISSE,55.0
LA MOTTE PICQUET GRENELLE,15192.0
LA MUETTE,6816.0
LA NORVILLE SAINT GERMAIN LES ARPAJON,434.0
LA PLAINE STADE DE FRANCE,13962.0
LA REMISE A JORELLE,179.0
LA TOUR MAUBOURG,3865.0
LA VERRIERE,5278.0
LAGNY THORIGNY,4265.0
LAMARCK CAULAINCOURT,4656.0
LARDY,333.0
LAUMIERE,8334.0
LE BOURGET,11040.0
LE BRAS DE FER,2755.0
LE KREMLIN BICETRE,9383.0
LE MEE,1691.0
LE PELETIER,5284.0
LE PERRAY,540.0
LE PLESSIS CHENET,38.0
LE RAINCY VILLEMOMBLE MONTFERMEIL,8033.0
LE STADE,2461.0
LE VAL D OR,1756.0
LE VERT DE MAISONS,2958.0
LEDRU ROLLIN,6828.0
LEON BLUM,188.0
LES AGNETTES ASNIERES GENNEVILLIERS,4790.0
LES ARDOINES,1824.0
LES BOULLEREAUX CHAMPIGNY,2290.0
LES CLAIRIERES DE VERNEUIL,346.0
LES COQUETIERS,222.0
LES COURTILLES,9461.0
LES GOBELINS,7432.0
LES GRESILLONS,2465.0
LES HALLES,34318.0
LES MUREAUX,3675.0
LES NOUES,829.0
LES PAVILLONS SOUS BOIS,432.0
LES SABLONS,10308.0
LES SAULES,809.0
LES VALLEES,4071.0
LES YVRIS NOISY LE GRAND,630.0
LES ESSARTS LE ROI,606.0
LIBERTE,5012.0
LIEGE,3316.0
LIEUSAINT MOISSY,5646.0
LIMAY,465.0
LIVRY SUR SEINE,85.0
LIZY SUR OURCQ,240.0
LONGJUMEAU,360.0
LONGUEVILLE,451.0
LOUIS BLANC,4963.0
LOUISE MICHEL,6910.0
LOURMEL,4573.0
LOUVECIENNES,668.0
LOUVRE RIVOLI,4495.0
LOUVRES,1034.0
LUZARCHES,221.0
LYCEE HENRI SELLIER,332.0
M. MONTROUGE,14586.0
MABILLON,3464.0
MADELEINE,17495.0
MAGENTA,5241.0
MAIRIE D ISSY,8504.0
MAIRIE D IVRY,7154.0
MAIRIE DE CLICHY,13033.0
MAIRIE DE MONTREUIL,17574.0
MAIRIE DE SAINT OUEN,9309.0
MAIRIE DES LILAS,8834.0
MAIRIE DE CLICHY,85.0
MAISON BLANCHE,4082.0
MAISONS ALFORT ALFORTVILLE,12807.0
MAISONS ALFORT LES JUILLIOTTES,4776.0
MAISONS ALFORT STADE,3411.0
MAISONS LAFFITTE,6926.0
MAISSE,103.0
MALAKOFF PLATEAU DE VANVES,6886.0
MALAKOFF RUE ETIENNE DOLET,4308.0
MALESHERBES,4944.0
MANTES LA JOLIE,2650.0
MANTES STATION,997.0
MARAICHERS,5540.0
MARCADET POISSONNIERS,12100.0
MARCEL SEMBAT,11215.0
MAREIL MARLY,6.0
MAREIL SUR MAULDRE,72.0
MARLES EN BRIE,331.0
MARLY LE ROI,1372.0
MAROLLES EN HUREPOIX,794.0
MARX DORMOY,7721.0
MASSY PALAISEAU,4480.0
MASSY VERRIERES,192.0
MAUBERT MUTUALITE,3656.0
MAULE,172.0
MAURECOURT,477.0
MAURICE AUDIN,136.0
MEAUX,4921.0
MELUN,12597.0
MENILMONTANT,8322.0
MENNECY,563.0
MERIEL,237.0
MERY VAL D OISE,187.0
MEUDON,948.0
MEUDON VAL FLEURY,2505.0
MEULAN HARDRICOURT,389.0
MICHEL BIZOT,3749.0
MICHEL ANGE AUTEUIL,3804.0
MICHEL ANGE MOLITOR,3909.0
MIRABEAU,2602.0
MIROMESNIL,11943.0
MITRY CLAYE,2544.0
MONCEAU,3302.0
MONNERVILLE,28.0
MONTEREAU,1647.0
MONTFORT L AMAURY MERE,475.0
MONTGALLET,3122.0
MONTGERON CROSNE,1735.0
MONTGEROULT COURCELLES,19.0
MONTIGNY BEAUCHAMP,3387.0
MONTIGNY SUR LOING,154.0
MONTPARNASSE,74323.0
MONTREUIL,2160.0
MONTRY CONDE,36.0
MONTSOULT MAFFLIERS,1219.0
MORET VENEUX LES SABLONS,576.0
MORMANT,345.0
MORTCERF,102.0
MOULIN GALANT,329.0
MOUROUX,105.0
MOUTON DUVERNET,3197.0
MUSEE D ORSAY,2838.0
NANGIS,738.0
NANTERRE UNIVERSITE,276.0
NANTEUIL SAACY,488.0
NATION,18951.0
NATIONALE,5434.0
NEMOURS SAINT PIERRE,913.0
NEUVILLE UNIVERSITE,3216.0
NEZEL AULNAY,66.0
NOGENT LE PERREUX,3664.0
NOINTEL MOURS,313.0
NOISY LE ROI,11.0
NOISY LE SEC,12942.0
NOTRE DAME DE LORETTE,6113.0
NOTRE DAME DES ANGES,83.0
NOTRE DAME DES CHAMPS,3962.0
OBERKAMPF,9002.0
ODEON,9939.0
OLYMPIADES,19028.0
OPERA,18811.0
ORANGIS BOIS DE L EPINE,2389.0
