X,Y,osm_id,type,name,brand,address,Code Postal,search_address,cat_mag,Supermarket
-0.5834862,44.8397419004827,node/279712728,post_office,Bordeaux Meriadeck,,45 RUE DU CHATEAU D EAU,33000,RUE DU CHATEAU D EAU,0,0
-0.5845251,44.8384339004828,node/8176952688,cosmetics,KIKO Milano,KIKO Milano,6 ESPLANADE CHARLES DE GAULLE,33000,ESPLANADE CHARLES DE GAULLE,0,0
-0.547,44.8721960004799,node/7977280379,restaurant,Ô Secret Bien Gardé,,187 RUE ACHARD,33300,RUE ACHARD,0,0
-0.6017716,44.8401201004827,node/3259796127,hairdresser,45th Avenue,,45 AVENUE DE LA REPUBLIQUE,33000,AVENUE DE LA REPUBLIQUE,0,0
-0.5794088,44.8431902004824,node/8407657628,bank,Palatine,,27 COURS GEORGES CLEMENCEAU,33000,COURS GEORGES CLEMENCEAU,0,0
-0.5615786,44.8315569004834,node/6244808589,restaurant,Café du Théâtre,,21 RUE DU PORT,33800,RUE DU PORT,0,0
-0.5758319,44.8388294004828,node/4634540391,butcher,Viandas de Salamanca,,21 RUE DE CHEVERUS,33000,RUE DE CHEVERUS,0,0
-0.5838828,44.8492434004819,node/3469722353,restaurant,Frères Z,,165 RUE FONDAUDEGE,33000,RUE FONDAUDEGE,0,0
-0.6238486,44.8581622004812,node/1992309235,post_office,Bordeaux Caudéran Soubiras,La Poste,334 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY,33200,AVENUE DU MARECHAL DE LATTRE DE TASSIGNY,0,0
-0.5711935,44.8346949004832,node/4023650963,bar,Sweet Light,,4 RUE DU MIRAIL,33000,RUE DU MIRAIL,0,0
-0.5992424,44.8191879004845,node/7252869869,laundry,Laverie Libre Service,,245 COURS DU MARECHAL GALLIENI,33000,COURS DU MARECHAL GALLIENI,0,0
-0.5724319,44.8150462004848,node/2393767316,fast_food,,,372 COURS DE LA SOMME,33800,COURS DE LA SOMME,0,0
-0.586588,44.8432490004824,node/3052422657,confectionery,Maison Zürcher,,4 PLACE DU PRADEAU,33000,PLACE DU PRADEAU,0,0
-0.573944,44.8551405004814,node/7279298509,restaurant,Le Bistrot du Docteur Grégoire,,27 RUE CAMILLE GODARD,33000,RUE CAMILLE GODARD,0,0
-0.5586755,44.8446808004823,node/2547157149,restaurant,Le Caillou,,35 AVENUE ABADIE,33100,AVENUE ABADIE,0,0
-0.590915,44.824570900484,node/8097507447,frozen_food,Picard,Picard,35 COURS DU MARECHAL GALLIENI,33000,COURS DU MARECHAL GALLIENI,1,0
-0.5835885,44.8417027004826,node/2534038675,greengrocer,Charlotte et Clémentine,,14 PLACE MARTYRS DE LA RESISTANCE,33000,PLACE MARTYRS DE LA RESISTANCE,0,0
