"DEP","DEPCOM","Equipement","coord_geo"
"59","59350","Enseignement Secondaire","(50.627959973838635, 3.048570127833361)"
"59","59350","Enseignement supérieur","(50.63903167428389, 3.0722595023050516)"
"59","59350","Enseignement supérieur","(50.622189741902865, 3.0671806099375547)"
"59","59350","Enseignement supérieur","(50.63155965222131, 3.0460098252787873)"
"59","59350","Enseignement supérieur","(50.634580131575454, 3.0290697187140276)"
"59","59350","Enseignement supérieur","(50.62407994468632, 3.0731902751899196)"
"59","59350","Enseignement Secondaire","(50.606143871518114, 3.0462601485994987)"
"59","59350","Enseignement supérieur","(50.61953398837737, 3.0659102849943287)"
"59","59350","Enseignement supérieur","(50.62086054974934, 3.068960543887326)"
"59","59350","Enseignement supérieur","(50.63623027918989, 3.057880292866852)"
"59","59350","École maternelle","(50.60823119586812, 3.0554405837678544)"
"59","59350","École maternelle","(50.631936065411196, 3.003809723146258)"
"59","59350","École maternelle","(50.61335651615315, 3.0535293874554976)"
"59","59350","École maternelle","(50.63754972778001, 3.057369560200857)"
"59","59350","Enseignement Secondaire","(50.63146402440448, 3.0367394972071367)"
"59","59350","Enseignement supérieur","(50.6355266830405, 3.044909972101648)"
"59","59350","Enseignement Secondaire","(50.64931902857727, 2.995690699252584)"
"59","59350","Enseignement Secondaire","(50.64094583457678, 3.010189309893455)"
"59","59350","École maternelle","(50.621587116327156, 3.0696104718035553)"
"59","59350","Enseignement Secondaire","(50.650126762251126, 2.9987705662168125)"
"59","59350","Enseignement Secondaire","(50.61396679703066, 3.053500417091996)"
"59","59350","Enseignement supérieur","(50.63333155713976, 3.057960203834798)"
"59","59350","École maternelle","(50.64327973998362, 3.066380378597787)"
"59","59350","Enseignement supérieur","(50.619210356901796, 3.0669396360688537)"
"59","59350","Enseignement supérieur","(50.63374070402663, 3.0451905868544076)"
"59","59350","Enseignement supérieur","(50.628077481210184, 3.0661698148881364)"
"59","59350","Enseignement supérieur","(50.63155965222131, 3.0460098252787873)"
"59","59350","Enseignement Secondaire","(50.6343042518721, 3.068740532716389)"
"59","59350","Enseignement Secondaire","(50.634456658432846, 3.069021546239088)"
"59","59350","École maternelle","(50.63100796875351, 3.0734896229935025)"
"59","59350","École maternelle","(50.62438260193029, 3.102110649291748)"
"59","59350","Enseignement Secondaire","(50.628822928441416, 3.0447995695608436)"
"59","59350","Enseignement Secondaire","(50.62225747564897, 3.0573901847705836)"
"59","59350","École maternelle","(50.627353824590365, 3.0597296038699495)"
"59","59350","Enseignement Secondaire","(50.642775121404995, 3.07013945115488)"
"59","59350","Enseignement supérieur","(50.62327594283813, 3.066630453226583)"
"59","59350","Enseignement supérieur","(50.60878730778491, 3.0733400631351415)"
"59","59350","École maternelle","(50.65082147682251, 3.0894196270579695)"
"59","59350","École maternelle","(50.61463943182141, 3.0721299137500533)"
"59","59350","École maternelle","(50.625360829607864, 3.0905198896345505)"
"59","59350","Enseignement supérieur","(50.641514645639376, 3.0903598996703785)"
"59","59350","École maternelle","(50.611673020287576, 3.044070595145043)"
"59","59350","Enseignement supérieur","(50.65100336129556, 2.973330277891112)"
"59","59350","Enseignement supérieur","(50.63417059540397, 3.0819508058260396)"
